'task_05'
Test MALLOC, number of runs: 10
	size	  alloc, max	  alloc, min	  alloc, avg	   free, max	   free, min	   free, avg
	2^00	0.000003 us	0.000000 us	0.000003 us	0.000003 us	0.000000 us	0.000003 us
	2^01	0.000001 us	0.000000 us	0.000001 us	0.000001 us	0.000000 us	0.000001 us
	2^02	0.000001 us	0.000000 us	0.000001 us	0.000001 us	0.000000 us	0.000001 us
	2^03	0.000001 us	0.000001 us	0.000001 us	0.000002 us	0.000001 us	0.000002 us
	2^04	0.000001 us	0.000001 us	0.000001 us	0.000001 us	0.000001 us	0.000001 us
	2^05	0.000002 us	0.000001 us	0.000002 us	0.000001 us	0.000001 us	0.000001 us
	2^06	0.000001 us	0.000001 us	0.000001 us	0.000001 us	0.000001 us	0.000001 us
	2^07	0.000001 us	0.000001 us	0.000001 us	0.000002 us	0.000001 us	0.000002 us
	2^08	0.000001 us	0.000001 us	0.000001 us	0.000001 us	0.000001 us	0.000001 us
	2^09	0.000002 us	0.000001 us	0.000002 us	0.000001 us	0.000001 us	0.000001 us
	2^10	0.000001 us	0.000001 us	0.000001 us	0.000001 us	0.000001 us	0.000001 us
	2^11	0.000001 us	0.000002 us	0.000001 us	0.000002 us	0.000002 us	0.000002 us
	2^12	0.000006 us	0.000002 us	0.000006 us	0.000001 us	0.000002 us	0.000001 us
	2^13	0.000005 us	0.000002 us	0.000005 us	0.000002 us	0.000002 us	0.000002 us
	2^14	0.000006 us	0.000002 us	0.000006 us	0.000001 us	0.000002 us	0.000001 us
	2^15	0.000006 us	0.000002 us	0.000006 us	0.000002 us	0.000002 us	0.000002 us
	2^16	0.000006 us	0.000003 us	0.000006 us	0.000001 us	0.000002 us	0.000001 us
	2^17	0.000005 us	0.000003 us	0.000005 us	0.000001 us	0.000002 us	0.000001 us
	2^18	0.000013 us	0.000003 us	0.000013 us	0.000016 us	0.000003 us	0.000016 us
	2^19	0.000009 us	0.000004 us	0.000009 us	0.000008 us	0.000003 us	0.000008 us
	2^20	0.000009 us	0.000004 us	0.000009 us	0.000008 us	0.000003 us	0.000008 us
	2^21	0.000013 us	0.000004 us	0.000013 us	0.000013 us	0.000004 us	0.000013 us
	2^22	0.000011 us	0.000005 us	0.000011 us	0.000010 us	0.000004 us	0.000010 us
	2^23	0.000010 us	0.000005 us	0.000010 us	0.000011 us	0.000004 us	0.000011 us
	2^24	0.000011 us	0.000006 us	0.000011 us	0.000011 us	0.000004 us	0.000011 us
	2^25	0.000011 us	0.000007 us	0.000011 us	0.000011 us	0.000006 us	0.000011 us
	2^26	0.000015 us	0.000008 us	0.000015 us	0.000011 us	0.000007 us	0.000011 us
	2^27	0.000009 us	0.000009 us	0.000009 us	0.000012 us	0.000009 us	0.000012 us
	2^28	0.000009 us	0.000011 us	0.000009 us	0.000020 us	0.000011 us	0.000020 us
	2^29	0.000015 us	0.000012 us	0.000015 us	0.000018 us	0.000013 us	0.000018 us
	2^30	0.000016 us	0.000013 us	0.000016 us	0.000027 us	0.000017 us	0.000027 us
	2^31	0.000011 us	0.000014 us	0.000011 us	0.000037 us	0.000019 us	0.000037 us
	2^32	0.000004 us	0.000014 us	0.000004 us	0.000011 us	0.000020 us	0.000011 us
	2^33	0.000003 us	0.000015 us	0.000003 us	0.000008 us	0.000021 us	0.000008 us
Can't allocate:(

Test CALLOC, number of runs: 10
	size	  alloc, max	  alloc, min	  alloc, avg	   free, max	   free, min	   free, avg
	2^00	0.000001 us	0.000000 us	0.000001 us	0.000001 us	0.000000 us	0.000001 us
	2^01	0.000001 us	0.000000 us	0.000001 us	0.000001 us	0.000000 us	0.000001 us
	2^02	0.000001 us	0.000000 us	0.000001 us	0.000001 us	0.000000 us	0.000001 us
	2^03	0.000001 us	0.000000 us	0.000001 us	0.000001 us	0.000000 us	0.000001 us
	2^04	0.000001 us	0.000000 us	0.000001 us	0.000001 us	0.000000 us	0.000001 us
	2^05	0.000001 us	0.000000 us	0.000001 us	0.000001 us	0.000000 us	0.000001 us
	2^06	0.000001 us	0.000000 us	0.000001 us	0.000001 us	0.000000 us	0.000001 us
	2^07	0.000001 us	0.000000 us	0.000001 us	0.000001 us	0.000000 us	0.000001 us
	2^08	0.000001 us	0.000000 us	0.000001 us	0.000001 us	0.000000 us	0.000001 us
	2^09	0.000001 us	0.000000 us	0.000001 us	0.000001 us	0.000000 us	0.000001 us
	2^10	0.000001 us	0.000001 us	0.000001 us	0.000001 us	0.000000 us	0.000001 us
	2^11	0.000002 us	0.000001 us	0.000002 us	0.000001 us	0.000001 us	0.000001 us
	2^12	0.000001 us	0.000001 us	0.000001 us	0.000001 us	0.000001 us	0.000001 us
	2^13	0.000002 us	0.000001 us	0.000002 us	0.000001 us	0.000001 us	0.000001 us
	2^14	0.000003 us	0.000001 us	0.000003 us	0.000001 us	0.000001 us	0.000001 us
	2^15	0.000007 us	0.000001 us	0.000007 us	0.000001 us	0.000001 us	0.000001 us
	2^16	0.000014 us	0.000002 us	0.000014 us	0.000001 us	0.000001 us	0.000001 us
	2^17	0.000024 us	0.000003 us	0.000024 us	0.000001 us	0.000001 us	0.000001 us
	2^18	0.000049 us	0.000005 us	0.000049 us	0.000001 us	0.000001 us	0.000001 us
	2^19	0.000100 us	0.000009 us	0.000100 us	0.000001 us	0.000001 us	0.000001 us
	2^20	0.000211 us	0.000017 us	0.000211 us	0.000001 us	0.000001 us	0.000001 us
	2^21	0.000418 us	0.000033 us	0.000418 us	0.000001 us	0.000001 us	0.000001 us
	2^22	0.000795 us	0.000065 us	0.000795 us	0.000001 us	0.000001 us	0.000001 us
	2^23	0.003351 us	0.000296 us	0.003351 us	0.000003 us	0.000001 us	0.000003 us
	2^24	0.007108 us	0.000911 us	0.007108 us	0.000002 us	0.000001 us	0.000002 us
	2^25	0.000024 us	0.000911 us	0.000024 us	0.000016 us	0.000002 us	0.000016 us
	2^26	0.000003 us	0.000912 us	0.000003 us	0.000002 us	0.000002 us	0.000002 us
	2^27	0.000002 us	0.000912 us	0.000002 us	0.000002 us	0.000002 us	0.000002 us
