
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
		Testing malloc() function
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 #	malloc()	free()		size
01	10.458 us	6.666 us	2^00(1) bytes
02	2.208 us	1.417 us	2^01(2) bytes
03	1.166 us	1.125 us	2^02(4) bytes
04	1.209 us	1.084 us	2^03(8) bytes
05	2.917 us	1.208 us	2^04(16) bytes
06	1.917 us	1.417 us	2^05(32) bytes
07	1.459 us	1.167 us	2^06(64) bytes
08	2.208 us	1.209 us	2^07(128) bytes
09	2.042 us	1.125 us	2^08(256) bytes
10	2.000 us	1.417 us	2^09(512) bytes
11	1.792 us	4.667 us	2^10(1024) bytes
12	1.625 us	1.459 us	2^11(2048) bytes
13	10.458 us	1.584 us	2^12(4096) bytes
14	7.708 us	1.584 us	2^13(8192) bytes
15	7.416 us	1.542 us	2^14(16384) bytes
16	7.375 us	1.542 us	2^15(32768) bytes
17	8.125 us	1.542 us	2^16(65536) bytes
18	29.833 us	45.459 us	2^17(131072) bytes
19	24.084 us	17.792 us	2^18(262144) bytes
20	19.875 us	15.167 us	2^19(524288) bytes
21	19.125 us	17.458 us	2^20(1048576) bytes
22	18.625 us	20.750 us	2^21(2097152) bytes
23	18.417 us	20.292 us	2^22(4194304) bytes
24	18.333 us	17.208 us	2^23(8388608) bytes
25	18.583 us	17.583 us	2^24(16777216) bytes
26	18.292 us	18.375 us	2^25(33554432) bytes
27	17.708 us	20.125 us	2^26(67108864) bytes
28	17.709 us	23.791 us	2^27(134217728) bytes
29	18.083 us	31.042 us	2^28(268435456) bytes
malloc(2^29)(0.5 Gb) failed!
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
		Testing calloc() function
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 #	calloc()	free()		size
01	11.292 us	2.000 us	2^00(1) bytes
02	2.125 us	1.375 us	2^01(2) bytes
03	1.917 us	1.250 us	2^02(4) bytes
04	1.917 us	1.292 us	2^03(8) bytes
05	2.083 us	1.291 us	2^04(16) bytes
06	1.875 us	1.250 us	2^05(32) bytes
07	2.541 us	1.292 us	2^06(64) bytes
08	2.208 us	1.291 us	2^07(128) bytes
09	2.250 us	1.250 us	2^08(256) bytes
10	2.375 us	1.250 us	2^09(512) bytes
11	2.584 us	1.917 us	2^10(1024) bytes
12	3.083 us	1.625 us	2^11(2048) bytes
13	4.250 us	1.500 us	2^12(4096) bytes
14	6.750 us	1.583 us	2^13(8192) bytes
15	19.625 us	1.667 us	2^14(16384) bytes
16	38.167 us	1.875 us	2^15(32768) bytes
17	76.750 us	1.833 us	2^16(65536) bytes
18	176.916 us	1.959 us	2^17(131072) bytes
19	332.625 us	2.375 us	2^18(262144) bytes
20	28.584 us	16.375 us	2^19(524288) bytes
21	18.750 us	15.541 us	2^20(1048576) bytes
22	18.417 us	17.709 us	2^21(2097152) bytes
23	18.333 us	17.084 us	2^22(4194304) bytes
24	17.750 us	17.083 us	2^23(8388608) bytes
25	17.708 us	17.625 us	2^24(16777216) bytes
26	17.667 us	18.500 us	2^25(33554432) bytes
27	17.584 us	19.917 us	2^26(67108864) bytes
28	17.833 us	23.625 us	2^27(134217728) bytes
29	17.916 us	29.875 us	2^28(268435456) bytes
calloc(2^29)(0.5 Gb) failed!
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
		Testing alloca() function
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 #	alloca()	free()		size
01	1.208 us	-1.000 us	2^00(1) bytes
02	1.084 us	-1.000 us	2^01(2) bytes
03	1.084 us	-1.000 us	2^02(4) bytes
04	1.083 us	-1.000 us	2^03(8) bytes
05	1.084 us	-1.000 us	2^04(16) bytes
06	1.084 us	-1.000 us	2^05(32) bytes
07	1.083 us	-1.000 us	2^06(64) bytes
08	1.083 us	-1.000 us	2^07(128) bytes
09	1.084 us	-1.000 us	2^08(256) bytes
10	1.083 us	-1.000 us	2^09(512) bytes
11	1.083 us	-1.000 us	2^10(1024) bytes
12	1.083 us	-1.000 us	2^11(2048) bytes
13	1.083 us	-1.000 us	2^12(4096) bytes
14	1.083 us	-1.000 us	2^13(8192) bytes
15	1.083 us	-1.000 us	2^14(16384) bytes
16	1.083 us	-1.000 us	2^15(32768) bytes
17	1.083 us	-1.000 us	2^16(65536) bytes
18	1.083 us	-1.000 us	2^17(131072) bytes
19	1.083 us	-1.000 us	2^18(262144) bytes
20	1.042 us	-1.000 us	2^19(524288) bytes
