
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
		Testing malloc() function
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 #	malloc()	free()		size
01	0.312 us	0.119 us	2^00(1) bytes
02	0.093 us	0.047 us	2^01(2) bytes
03	0.052 us	0.025 us	2^02(4) bytes
04	0.032 us	0.032 us	2^03(8) bytes
05	0.050 us	0.035 us	2^04(16) bytes
06	0.121 us	0.032 us	2^05(32) bytes
07	0.075 us	0.040 us	2^06(64) bytes
08	0.075 us	0.037 us	2^07(128) bytes
09	0.062 us	0.031 us	2^08(256) bytes
10	0.071 us	0.039 us	2^09(512) bytes
11	0.102 us	0.034 us	2^10(1024) bytes
12	1.627 us	0.195 us	2^11(2048) bytes
13	0.092 us	0.056 us	2^12(4096) bytes
14	1.529 us	0.044 us	2^13(8192) bytes
15	1.202 us	0.043 us	2^14(16384) bytes
16	1.305 us	0.048 us	2^15(32768) bytes
17	1.265 us	0.053 us	2^16(65536) bytes
18	3.511 us	4.746 us	2^17(131072) bytes
19	2.757 us	2.675 us	2^18(262144) bytes
20	2.421 us	2.238 us	2^19(524288) bytes
21	2.469 us	2.139 us	2^20(1048576) bytes
22	3.204 us	3.801 us	2^21(2097152) bytes
23	2.877 us	2.726 us	2^22(4194304) bytes
24	2.836 us	2.657 us	2^23(8388608) bytes
25	2.738 us	2.671 us	2^24(16777216) bytes
26	2.727 us	2.643 us	2^25(33554432) bytes
27	2.674 us	2.766 us	2^26(67108864) bytes
28	2.574 us	2.991 us	2^27(134217728) bytes
29	2.943 us	3.992 us	2^28(268435456) bytes
30	2.739 us	5.347 us	2^29(536870912) bytes
31	2.631 us	8.344 us	2^30(1073741824) bytes
32	2.778 us	8.216 us	2^31(2147483648) bytes
33	2.700 us	7.564 us	2^32(4294967296) bytes
34	2.715 us	8.184 us	2^33(8589934592) bytes
35	2.765 us	8.717 us	2^34(17179869184) bytes
malloc(2^35)(32.0 Gb) failed!
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
		Testing calloc() function
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 #	calloc()	free()		size
01	0.227 us	0.068 us	2^00(1) bytes
02	0.101 us	0.051 us	2^01(2) bytes
03	0.075 us	0.029 us	2^02(4) bytes
04	0.078 us	0.035 us	2^03(8) bytes
05	0.100 us	0.041 us	2^04(16) bytes
06	0.091 us	0.039 us	2^05(32) bytes
07	0.094 us	0.026 us	2^06(64) bytes
08	0.169 us	0.038 us	2^07(128) bytes
09	0.087 us	0.036 us	2^08(256) bytes
10	0.102 us	0.038 us	2^09(512) bytes
11	0.125 us	0.040 us	2^10(1024) bytes
12	0.147 us	0.099 us	2^11(2048) bytes
13	0.144 us	0.054 us	2^12(4096) bytes
14	1.637 us	0.085 us	2^13(8192) bytes
15	1.611 us	0.052 us	2^14(16384) bytes
16	4.425 us	0.047 us	2^15(32768) bytes
17	10.986 us	0.042 us	2^16(65536) bytes
18	27.331 us	0.064 us	2^17(131072) bytes
19	52.395 us	0.057 us	2^18(262144) bytes
20	9.500 us	0.053 us	2^19(524288) bytes
21	137.865 us	0.066 us	2^20(1048576) bytes
22	175.030 us	0.039 us	2^21(2097152) bytes
23	372.213 us	0.097 us	2^22(4194304) bytes
24	904.154 us	0.409 us	2^23(8388608) bytes
25	1822.337 us	0.428 us	2^24(16777216) bytes
26	11.170 us	9.419 us	2^25(33554432) bytes
27	3.992 us	3.148 us	2^26(67108864) bytes
28	3.036 us	3.196 us	2^27(134217728) bytes
29	3.296 us	4.521 us	2^28(268435456) bytes
30	3.000 us	5.260 us	2^29(536870912) bytes
31	2.929 us	7.866 us	2^30(1073741824) bytes
32	3.282 us	8.393 us	2^31(2147483648) bytes
33	3.105 us	8.499 us	2^32(4294967296) bytes
34	3.272 us	8.546 us	2^33(8589934592) bytes
35	2.986 us	8.142 us	2^34(17179869184) bytes
calloc(2^35)(32.0 Gb) failed!
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
		Testing alloca() function
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 #	alloca()	free()		size
01	0.071 us	-1.000 us	2^00(1) bytes
02	0.048 us	-1.000 us	2^01(2) bytes
03	0.047 us	-1.000 us	2^02(4) bytes
04	0.039 us	-1.000 us	2^03(8) bytes
05	0.036 us	-1.000 us	2^04(16) bytes
06	0.041 us	-1.000 us	2^05(32) bytes
07	0.039 us	-1.000 us	2^06(64) bytes
08	0.044 us	-1.000 us	2^07(128) bytes
09	0.039 us	-1.000 us	2^08(256) bytes
10	0.040 us	-1.000 us	2^09(512) bytes
11	0.038 us	-1.000 us	2^10(1024) bytes
12	0.037 us	-1.000 us	2^11(2048) bytes
13	0.037 us	-1.000 us	2^12(4096) bytes
14	0.034 us	-1.000 us	2^13(8192) bytes
15	0.034 us	-1.000 us	2^14(16384) bytes
16	0.036 us	-1.000 us	2^15(32768) bytes
17	0.034 us	-1.000 us	2^16(65536) bytes
18	0.029 us	-1.000 us	2^17(131072) bytes
19	0.033 us	-1.000 us	2^18(262144) bytes
20	0.036 us	-1.000 us	2^19(524288) bytes
21	0.035 us	-1.000 us	2^20(1048576) bytes
22	0.035 us	-1.000 us	2^21(2097152) bytes
23	0.036 us	-1.000 us	2^22(4194304) bytes
24	0.035 us	-1.000 us	2^23(8388608) bytes
25	0.030 us	-1.000 us	2^24(16777216) bytes
26	0.040 us	-1.000 us	2^25(33554432) bytes
27	0.033 us	-1.000 us	2^26(67108864) bytes
28	0.034 us	-1.000 us	2^27(134217728) bytes
29	0.036 us	-1.000 us	2^28(268435456) bytes
30	0.033 us	-1.000 us	2^29(536870912) bytes
31	0.036 us	-1.000 us	2^30(1073741824) bytes
32	0.036 us	-1.000 us	2^31(2147483648) bytes
33	0.036 us	-1.000 us	2^32(4294967296) bytes
34	0.036 us	-1.000 us	2^33(8589934592) bytes
35	0.035 us	-1.000 us	2^34(17179869184) bytes
36	0.034 us	-1.000 us	2^35(34359738368) bytes
37	0.038 us	-1.000 us	2^36(68719476736) bytes
38	0.032 us	-1.000 us	2^37(137438953472) bytes
39	0.036 us	-1.000 us	2^38(274877906944) bytes
40	0.037 us	-1.000 us	2^39(549755813888) bytes
41	0.030 us	-1.000 us	2^40(1099511627776) bytes
42	0.029 us	-1.000 us	2^41(2199023255552) bytes
43	0.033 us	-1.000 us	2^42(4398046511104) bytes
44	0.034 us	-1.000 us	2^43(8796093022208) bytes
45	0.030 us	-1.000 us	2^44(17592186044416) bytes
46	0.033 us	-1.000 us	2^45(35184372088832) bytes
47	0.035 us	-1.000 us	2^46(70368744177664) bytes
48	0.036 us	-1.000 us	2^47(140737488355328) bytes
49	0.037 us	-1.000 us	2^48(281474976710656) bytes
50	0.035 us	-1.000 us	2^49(562949953421312) bytes
51	0.036 us	-1.000 us	2^50(1125899906842624) bytes
52	0.037 us	-1.000 us	2^51(2251799813685248) bytes
53	0.035 us	-1.000 us	2^52(4503599627370496) bytes
54	0.031 us	-1.000 us	2^53(9007199254740992) bytes
55	0.037 us	-1.000 us	2^54(18014398509481984) bytes
56	0.037 us	-1.000 us	2^55(36028797018963968) bytes
57	0.037 us	-1.000 us	2^56(72057594037927936) bytes
58	0.038 us	-1.000 us	2^57(144115188075855872) bytes
59	0.038 us	-1.000 us	2^58(288230376151711744) bytes
60	0.035 us	-1.000 us	2^59(576460752303423488) bytes
61	0.031 us	-1.000 us	2^60(1152921504606846976) bytes
62	0.036 us	-1.000 us	2^61(2305843009213693952) bytes
63	0.039 us	-1.000 us	2^62(4611686018427387904) bytes
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
